Species,Length,Muscle.d13C,Muscle.d15N,Muscle.CN,Liver.d13C,Liver.d15N,Liver.CN
Arrowtooth.Flounder,320,-19.05162588,15.32760946,3.207626519,-22.46728311,15.13437041,6.957752469
Arrowtooth.Flounder,170,-19.32352531,13.27570026,3.208621676,-21.37745801,13.00691388,7.50115871
Arrowtooth.Flounder,180,-19.32723749,12.81220742,3.132602594,-22.24819803,13.19996055,8.645248718
Arrowtooth.Flounder,360,-18.48075197,15.26385498,3.233318205,-20.12994884,14.49240488,4.434564606
Arrowtooth.Flounder,160,-19.46688978,12.98392234,3.265972079,-22.64737925,12.32678722,9.137754812
Arrowtooth.Flounder,500,-19.57438737,15.59422163,3.657918225,-23.03637693,15.27908395,13.86195891
Arrowtooth.Flounder,420,-23.22555538,14.93963946,11.55067297,-20.79843697,15.32925212,4.431023121
Arrowtooth.Flounder,350,-21.31656644,15.04698184,5.343084734,-22.29714055,14.33777809,7.757928699
Arrowtooth.Flounder,370,-20.03598111,14.97316728,3.841018515,-22.87389916,15.01746298,10.16334489
Arrowtooth.Flounder,480,-19.70100125,16.27329754,4.1570013,-22.82591721,15.0592018,15.6110262
Arrowtooth.Flounder,180,-19.43305963,12.88633123,3.250336515,-22.69716467,11.98949811,9.605125441
Arrowtooth.Flounder,180,-19.61316523,14.95253937,3.350419456,-22.87948682,15.54901415,7.080576906
Arrowtooth.Flounder,170,-19.7262845,12.49042747,3.320546276,-22.08021422,11.18307089,6.549856667
Arrowtooth.Flounder,370,-20.33188401,15.68684177,4.108984793,-21.8679501,15.06217727,7.106442056
Arrowtooth.Flounder,180,-19.87387357,14.95556763,3.244389997,-21.55466846,14.20082413,5.15042467
Arrowtooth.Flounder,200,-19.52381692,14.56770529,3.264497646,-21.57107633,14.4950231,5.94850584
Arrowtooth.Flounder,620,-22.07038272,15.83450945,6.429151041,-22.7142246,15.87962863,11.13341999
Arrowtooth.Flounder,410,-19.39749827,13.56021749,3.553426493,-21.63285454,13.60790348,6.750004806
Arrowtooth.Flounder,320,-19.38916581,15.95458864,3.558621599,-21.6470501,15.91861151,6.52091514
Arrowtooth.Flounder,160,-20.47720461,14.33571425,3.642771802,-24.89577392,11.62020485,8.768908394
Arrowtooth.Flounder,170,-19.69546112,13.38951589,3.306504929,-23.28212652,12.74678417,6.478698864
Arrowtooth.Flounder,200,-19.79461721,14.34564804,3.342495282,-21.59174093,14.46320512,5.342293041
Arrowtooth.Flounder,320,-18.83196817,15.92738153,3.258679254,-19.95346518,15.57679234,4.516878082
Arrowtooth.Flounder,180,-23.40986766,12.54341662,11.89746908,-19.54533896,13.02639923,3.492600185
Arrowtooth.Flounder,680,-22.45229635,14.17764854,5.699048273,-23.40872308,13.72759868,16.25901628
Arrowtooth.Flounder,610,-21.37329563,15.62567985,4.669254539,-24.07848643,14.3810629,15.56176104
Arrowtooth.Flounder,350,-19.09380345,15.87674048,3.347311981,-22.0720881,15.77104712,6.395042403
Arrowtooth.Flounder,750,-18.42870047,16.59750125,3.327079993,-23.22747239,15.55859361,16.49096516
Arrowtooth.Flounder,180,-19.84879453,14.41860324,3.583346653,-21.33234057,14.05405234,5.480153811
Pacific.cod,650,-18.56084357,16.39439577,3.329923203,-22.95460379,14.37077475,17.33021751
Pacific.cod,750,-17.43660463,19.3818129,3.130484488,-24.48065204,17.46670068,24.88405818
Pacific.cod,670,-18.1137178,16.22252758,3.1589295,-24.27837187,14.98423577,18.42347807
Pacific.cod,280,-18.20351399,19.03855641,3.184422746,-21.93696028,17.00072747,7.361549472
Pacific.cod,620,-18.27080092,17.60102665,3.157641882,-25.15229151,14.79200083,16.36082008
Pacific.cod,210,-18.55463529,18.53644192,3.205055802,-21.93773817,17.56504205,6.753568097
Pacific.cod,540,-17.94895815,18.41567807,3.184303178,-23.67881925,16.54423974,22.84268619
Pacific.cod,580,-21.51863102,16.59096564,7.668619453,-18.75273915,17.1685669,3.480785443
Pacific.cod,210,-21.00307421,17.00277538,5.913245945,-18.88660001,18.19787363,3.274635716
Pacific.cod,360,-17.66310413,17.89498427,3.128318666,-19.78725962,17.47132123,5.308861219
Pacific.cod,770,-17.2512849,18.8224865,3.165742719,-21.23951684,12.01442969,3.225426295
Pacific.cod,610,-17.7589712,18.91246692,3.242780478,-22.61459248,18.4539929,20.70359993
Pacific.cod,730,-16.88357729,18.72733319,3.16290106,-22.55348859,18.20704828,23.40130753
Pacific.cod,720,-17.18161407,19.34084102,3.18039281,-23.26011452,18.51855032,15.60140548
Pacific.cod,750,-16.99912331,18.21306123,3.199739318,-23.18018857,16.89034062,23.06305177
Pacific.cod,730,-16.76565242,18.80194436,3.202754654,-22.79992305,16.86037893,21.33479518
Pacific.cod,500,-17.36324378,17.10329173,3.186661913,-20.78979902,16.83589209,9.010969194
Pacific.cod,140,-18.35449263,16.77610522,3.450906028,-20.57029819,16.17303652,9.434441756
Pacific.cod,210,-18.40671682,18.73392542,3.301856193,-22.81189869,17.81533744,9.791770173
Pacific.cod,550,-17.55164547,18.97612585,3.140559332,-19.38494053,20.27313065,5.017652283
Pacific.cod,820,-17.56806995,17.28928077,3.184434998,-24.12743139,15.89873136,23.31601591
Pacific.cod,450,-17.86127841,17.79276416,3.201383466,-21.98095671,17.67672774,9.445547638
Pacific.cod,610,-17.47841431,17.76622555,3.147966077,-22.2393004,18.00821123,10.1888697
Pacific.cod,150,-18.17945746,17.35358154,3.284363006,-19.23027453,17.46803333,4.678266479
Pacific.cod,540,-20.75370785,16.90881377,17.56303184,-17.3502834,18.0225263,3.276687776
Pacific.cod,360,-18.52315391,18.76536659,3.221932335,-22.41209031,16.75003313,8.85653549
Pacific.cod,600,-17.80835194,18.83839751,3.260236421,-21.33681841,17.56435655,8.767940151
Pacific.cod,200,-18.35219917,18.13919108,3.302029458,-22.64079079,17.33420416,9.193518047
Pacific.cod,420,-17.71068769,18.61527683,3.222609756,-20.29491741,16.80315052,6.265563516
Pacific.cod,690,-17.26366271,17.79815234,3.257178665,-24.10755073,16.04217057,27.15851264
Pacific.cod,620,-16.98517823,19.16018608,3.258889029,-22.23759796,16.82981983,26.57792615
Pacific.cod,390,-18.69312823,18.30073756,3.303760489,-22.21955828,14.76234097,8.568172409
Pacific.cod,640,-17.07816576,17.88318882,3.184941369,-23.56641989,16.20257917,17.33817156
Pacific.cod,140,-18.97700094,16.58891693,3.409439514,-21.48945943,15.21343483,7.6205932
Pacific.cod,160,-18.50109151,17.60875178,3.300071951,-20.5889608,16.10973447,7.830450499
Pacific.cod,670,-16.86773543,18.17955121,3.227446682,-22.45789303,15.69218098,28.65596556
Pacific.cod,140,-18.63357422,15.89087975,3.281922027,-19.14087078,15.21986583,4.350054327
Pacific.cod,150,-18.59914957,16.9430676,3.25520034,-19.58070611,16.02512021,4.806162472
Pacific.cod,740,-17.17876902,20.1018887,3.122189872,-21.49442007,18.83692094,9.704299649
Pollock,90,-19.2243705,14.19015684,3.428112898,-20.3866657,13.41101702,4.508013766
Pollock,630,-17.73823301,17.57744784,3.23122501,-23.3920663,14.75550419,34.15265814
Pollock,290,-19.67747396,13.39577747,3.216020516,-24.26839022,11.5513645,26.8636423
Pollock,710,-17.85721875,15.94449834,3.293796067,-23.36325009,12.60870533,36.24892511
