group,x,y
1,5.132626337,3.688303346
1,5.027934415,4.86449461
1,6.043919263,7.318477302
1,5.110484276,5.406555477
1,4.755094023,3.77654147
1,5.35203914,5.617408095
1,4.96480273,3.855380519
1,5.485278005,5.425605628
1,5.310339664,4.98686112
1,4.922920527,3.40061299
1,4.995183205,3.994522482
1,6.079741693,6.703973534
1,5.667668213,6.246105804
1,5.205787713,5.192862848
1,4.964732589,4.183737055
1,5.224107993,4.974401533
1,4.992166699,4.083743111
1,5.925788905,7.077552652
1,5.29923779,4.813968073
1,5.954730084,6.566349426
2,0.186432047,3.60685959
2,3.53581808,4.225075007
2,0.504743861,4.391172372
2,2.624164956,4.545632584
2,-0.054902607,4.614149715
2,-1.113834017,3.916090414
2,0.780661622,5.916003992
2,2.23226819,5.004188948
2,2.466778349,5.259539064
2,3.080695315,2.416390976
2,-0.908995482,5.959884781
2,3.495390467,2.008932394
2,0.342270113,3.99767439
2,1.335476776,2.852039795
2,1.736848919,1.843641011
2,0.207525262,6.615010247
2,-1.151851479,4.203319505
2,0.600401651,4.212496411
2,1.250162161,3.953428173
2,0.120473278,5.058224924
3,-3.688510878,11.69510182
3,-2.906022384,10.93901342
3,6.77827967,7.865499873
3,0.894642457,10.88325565
3,-1.668558317,9.213310114
3,-0.94066673,6.163726342
3,4.110663246,9.377163909
3,1.657192561,7.462571797
3,-0.075812522,13.09718642
3,-1.388245018,7.460632999
3,-1.727593713,5.825064099
3,7.045624514,5.655886041
3,3.705080392,3.922238305
3,6.926990223,6.022669553
3,-0.398681454,3.066479872
3,-0.186033824,2.893589666
3,-2.225552909,11.25626059
3,0.116377112,8.889179479
3,2.294062806,9.285560188
3,4.968259159,-0.782315842
4,6.00688289,2.337958172
4,8.294047021,2.692525403
4,10.90199989,1.43206863
4,7.705966491,0.92379691
4,10.0504632,3.348141318
4,11.78596602,0.266933853
4,8.108676329,-0.311553644
4,11.55182111,7.901243686
4,11.27023748,-1.74532422
4,7.706629171,-1.290571585
4,7.205830206,3.582226344
4,12.3892023,6.000890177
4,9.380700364,4.159523124
4,11.722788,3.364908249
4,7.607627329,2.231744866
4,13.18092562,1.788754671
4,6.297666993,-0.549545151
4,11.83613119,2.684453952
4,11.04510384,0.816048666
4,10.52970271,4.603357269
