Taxon,ID,d13C,d15N,C:N
POM,AF_POM01,-20.477,13.554,9.5
POM,AF_POM02,-19.879,12.461,8
POM,AF_POM03,-19.437,14.053,9.1
POM,AF_POM04,-20.276,13.129,8.1
POM,AF_POM05,-19.126,12.484,7.3
Benthic.algae,AF_BA01 ,-13.408,12.144,7.7
Benthic.algae,AF_BA02,-13.621,12.156,9.3
Benthic.algae,AF_BA03,-14.159,12,9
Benthic.algae,AF_BA04,-13.9,11.84,9.2
Benthic.algae,AF_BA05,-6.2,12.482,10
Fissurella,AF_LA01 ,-15.658,15.622,3.4
Fissurella,AF_LA02,-17.436,16.25,3.3
Fissurella,AF_LA03,-14.836,16.122,3.4
Fissurella,AF_LA04,-14.482,15.145,3.4
Fissurella,AF_LA05,-15.063,14.597,3.5
Fissurella,AF_LA06,-12,16.009,11.4
Fissurella,AF_LA07,-17.387,16.003,9.8
Fissurella,AF_LA08,-18.314,17.858,3.8
Fissurella,AF_LA09,-20.166,16.046,3.8
Fissurella,AF_LA10,-15.415,15.193,3.8
Perumytilus,AF_BV01 ,-18.862,16.509,3.6
Perumytilus,AF_BV02,-13.2,15.985,12.5
Perumytilus,AF_BV03,-16.338,16.551,3.4
Perumytilus,AF_BV04,-18.347,18.865,3.4
Perumytilus,AF_BV05,-19.283,17.003,3.4
Perumytilus,AF_BV06,-14.2,15.604,10.1
Perumytilus,AF_BV07,-19.227,16.948,3.6
Perumytilus,AF_BV08,-19.949,15.578,3.4
Perumytilus,AF_BV09,-17.064,15.687,3.5
Perumytilus,AF_BV10,-17.505,17.25,3.7
Cabrilla,AF_Ph01 ,-15.625,20.71,3.1
Cabrilla,AF_Ph02,-17.578,20.572,4
Cabrilla,AF_Ph03,-15.1,20.777,3.7
Cabrilla,AF_Ph04,-14.5,20.616,3.3
Cabrilla,AF_Ph05,-17.597,21.959,4.1
Cabrilla,AF_Ph06,-22.4,20.125,5.8
Cabrilla,AF_Ph07,-16.788,22.881,3.6
Cabrilla,AF_Ph08,-18.266,19.052,4.4
Cabrilla,AF_Ph09,-17.865,20.724,4.3
Cabrilla,AF_Ph10,-19.1,22.636,4.6
Cabrilla,AF_Ph11,-16.775,20.591,3.5
Cabrilla,AF_Ph12,-19.982,21.99,5.3
Cabrilla,AF_Ph13,-17.279,20.478,4
Cabrilla,AF_Ph14,-17.166,20.062,3.9
Cabrilla,AF_Ph15,-19.443,20.252,5.9
Cabrilla,AF_Ph16,-22.3,20.257,5.9
Cabrilla,AF_Ph17,-16.897,17.956,3.7
Cabrilla,AF_Ph18,-18.619,21.067,4.5
Cabrilla,AF_Ph19,-14.963,19.884,3.1
Cabrilla,AF_Ph20,-23.1,23.378,6.8
Cabrilla,AF_Ph21,-16.821,18.69,3.6
Cabrilla,AF_Ph22,-18.897,17.89,5
Cabrilla,AF_Ph23,-16.159,21.033,3.1
Cabrilla,AF_Ph24,-18.716,21.469,4.5
Cabrilla,AF_Ph25,-18.801,21.066,4.6
Cabrilla,AF_Ph26,-17.083,19.383,3.7
Cabrilla,AF_Ph27,-18.146,21.192,4.4
Cabrilla,AF_Ph28,-17.238,20.004,3.9
Cabrilla,AF_Ph29,-18.62,19.689,4.5
Cabrilla,AF_Ph30,-17.998,20.227,4.3
