Bird,d15NPl,d13CPl,julianday
1,10.22,-11.36,299.75
2,10.37,-11.88,299.75
3,10.44,-10.6,299.75
4,10.52,-11.25,299.75
5,10.19,-11.66,299.75
6,10.45,-10.41,299.75
7,9.91,-10.88,299.75
8,11.27,-14.73,299.75
9,9.34,-11.52,299.75
10,11.68,-15.89,12
11,12.29,-14.79,12
12,11.04,-17.64,12
13,11.46,-16.97,12
14,11.73,-17.25,12
15,12.29,-14.77,12
16,11.79,-15.67,13
17,11.49,-15.34,13
18,11.73,-15.53,13
19,11.1,-17.27,13
20,11.36,-15.63,13
21,12.19,-15.94,13
22,11.03,-14.88,13
23,11.21,-15.9,13
25,10.58,-17.11,13
26,11.61,-14.93,13
27,12.16,-16.26,13
28,10.7,-17.5,13
29,11.47,-16.37,13
30,12.07,-15.21,13
31,11.75,-15.43,13
32,11.86,-16.54,13
33,12.33,-15,13
34,12.36,-16.41,13
35,11.13,-15.09,13
36,10.92,-18.06,13
37,12.42,-16.27,13
38,10.95,-15.08,13
39,12.28,-14.39,14
40,11.04,-21.45,47.42
41,10.76,-22.52,47.42
42,10.99,-21.25,47.42
43,10.78,-21.84,47.42
44,11.07,-22.51,47.42
45,10.2,-21.97,48.42
46,11.67,-20.23,48.42
48,7.53,-21.64,48.42
50,10.65,-22.49,48.42
52,10.58,-21.91,48.42
53,11.13,-21.65,48.42
55,7.73,-21.37,48.42
57,10.79,-22.9,48.42
58,10.47,-21.13,48.42
61,10.82,-19.33,48.42
62,10.41,-20.29,48.42
64,11.1,-20.56,48.42
66,10.95,-20.87,48.42
67,10.76,-21.07,48.42
68,10.83,-21.69,48.42
71,10.25,-21.17,48.42
72,10.52,-21.74,48.42
74,9.94,-22.69,48.42
76,9.94,-21.06,48.42
78,10.65,-21.5,48.42
80,10.76,-20.15,48.42
82,11.11,-21.99,48.42
83,10.2,-22.3,48.42
85,11.27,-21.71,48.42
87,10.21,-22.48,48.42
89,10.88,-21.86,48.42
90,11.21,-21.68,48.42
91,11.36,-20.97,48.42
93,10.75,-21.91,48.42
95,12.38,-19.05,48.42
97,11.16,-22.78,48.42
102,11.57,-22.36,48.42
104,10.79,-22.46,48.42
106,11.13,-21.52,48.42
107,10.72,-21.84,48.42
110,10.99,-21.3,48.42
112,10.38,-21.39,48.42
114,10.95,-22.1,48.42
116,10.75,-21.59,48.42
117,10.75,-20.14,48.42
119,11.05,-20.67,48.42
120,10.66,-20.31,48.42
123,10.61,-20.07,48.42
124,10.9,-21.2,48.42
125,11.14,-20.44,48.42
127,10.33,-22.06,48.42
131,10.83,-22.05,48.42
133,10.75,-21.44,48.42
142,9.18,-21.93,48.42
143,9.03,-22.47,48.42
144,9.05,-22.27,48.42
145,8.6,-22.19,48.42
146,8.29,-22.81,48.42
147,10.32,-20.48,49.42
148,10.28,-22.47,49.42
149,6.47,-18.06,49.42
150,11.36,-20.72,49.42
151,10.75,-20.97,49.42
152,11.13,-19.11,49.42
154,11.37,-18.4,49.42
155,10.86,-20.45,49.42
156,10.54,-21.2,49.42
157,10.39,-19.74,49.42
158,10.66,-20.48,49.42
