Group,d15N,d13C,Time,Age,Sex,Wing,Skull,Net Wt
1,10.22,-11.36,1,0,0,325.00,83.00,1100.00
1,10.37,-11.88,1,1,1,350.00,93.00,1400.00
1,10.44,-10.6,1,1,1,350.00,90.00,1475.00
1,10.52,-11.25,1,0,1,330.00,90.00,1075.00
1,10.19,-11.66,1,1,0,340.00,87.00,1200.00
1,10.45,-10.41,1,0,0,314.00,88.00,1000.00
1,9.91,-10.88,1,0,1,307.00,87.00,825.00
1,11.27,-14.73,1,1,1,348.00,90.00,1375.00
1,9.34,-11.52,1,1,0,330.00,88.00,1150.00
2,11.68,-15.89,93,1,0,350.00,88.00,1275.00
2,12.29,-14.79,93,0,1,341.00,90.00,1200.00
2,11.04,-17.64,93,0,0,318.00,88.00,1125.00
2,11.46,-16.97,93,0,0,339.00,89.00,1300.00
2,11.73,-17.25,93,1,0,329.00,90.00,1275.00
2,12.29,-14.77,93,1,0,340.00,88.00,1200.00
2,11.79,-15.67,93,0,0,324.00,89.00,1200.00
2,11.49,-15.34,93,0,0,320.00,87.00,1200.00
2,11.73,-15.53,93,0,1,330.00,94.00,1500.00
2,11.1,-17.27,93,0,0,306.00,85.00,1150.00
2,11.36,-15.63,93,0,0,335.00,88.00,1325.00
2,12.19,-15.94,93,0,1,325.00,94.00,1350.00
2,11.03,-14.88,93,1,1,348.00,95.00,1475.00
2,11.21,-15.9,93,0,0,332.00,87.00,1175.00
2,10.58,-17.11,93,1,0,325.00,84.00,850.00
2,11.61,-14.93,93,0,1,335.00,91.00,1225.00
2,12.16,-16.26,93,0,0,316.00,86.00,1050.00
2,10.7,-17.5,93,0,0,318.00,86.00,1200.00
2,11.47,-16.37,93,0,1,321.00,91.00,1100.00
2,12.07,-15.21,93,1,0,345.00,87.00,1350.00
2,11.75,-15.43,93,1,0,324.00,86.00,1300.00
2,11.86,-16.54,93,0,0,325.00,92.00,1150.00
2,12.33,-15,93,1,1,347.00,92.00,1500.00
2,12.36,-16.41,93,0,0,311.00,86.00,1150.00
2,11.13,-15.09,93,0,1,324.00,90.00,1350.00
2,10.92,-18.06,93,0,0,316.00,85.00,1250.00
2,12.42,-16.27,93,1,1,345.00,85.00,1475.00
2,10.95,-15.08,93,0,1,320.00,90.00,1325.00
2,12.28,-14.39,93,0,1,328.00,90.00,1375.00
3,11.04,-21.45,124,0,0,339.00,90.00,1425.00
3,10.76,-22.52,124,1,1,323.00,89.00,1350.00
3,10.99,-21.25,124,1,1,346.00,91.00,1525.00
3,10.78,-21.84,124,1,1,341.00,91.00,1450.00
3,11.07,-22.51,124,1,1,346.00,93.00,1525.00
3,10.2,-21.97,124,1,0,345.00,89.00,1060.00
3,11.67,-20.23,124,0,1,310.00,91.00,1200.00
3,7.53,-21.64,124,0,0,312.00,88.00,1110.00
3,10.65,-22.49,124,0,0,306.00,86.00,1100.00
3,10.58,-21.91,124,1,1,355.00,93.00,1400.00
3,11.13,-21.65,124,1,1,342.00,92.00,1340.00
3,7.73,-21.37,124,0,0,311.00,89.00,1100.00
3,10.79,-22.9,124,0,0,304.00,83.00,870.00
3,10.47,-21.13,124,0,0,322.00,89.00,1190.00
3,10.82,-19.33,124,0,0,326.00,88.00,1190.00
3,10.41,-20.29,124,0,1,327.00,91.00,1180.00
3,11.1,-20.56,124,1,0,328.00,86.00,1190.00
3,10.95,-20.87,124,1,0,326.00,84.00,1190.00
3,10.76,-21.07,124,1,1,358.00,92.00,1340.00
3,10.83,-21.69,124,1,1,333.00,88.00,1230.00
3,10.25,-21.17,124,0,0,309.00,86.50,1020.00
3,10.52,-21.74,124,0,0,315.00,86.50,1055.00
3,9.94,-22.69,124,0,1,333.00,90.00,1270.00
3,9.94,-21.06,124,1,1,344.00,92.00,1340.00
3,11.61,-20.42,124,1,0,334.00,90.00,
3,10.65,-21.5,124,0,0,313.00,87.00,1060.00
3,10.76,-20.15,124,0,0,331.00,88.00,1110.00
